Marca temporal	"Parte 1:
1. Género"	2. Edad: 	3. Año actual cursando en la carrera de Ingeniería en Sistemas:	4. ¿Trabaja o ha trabajado en un área relacionada con la ingeniería en sistemas?																																																																																														5.En qué área de ingeniería en sistemas trabaja actualmente.	6. Cuánto tiempo ha trabajado en esta área	 La organización en la que ha trabajado o está trabajando es:	Cuál es su rango salarial actual	De continuar en su área cuánto espera ser su próximo rango salarial.	Planea continuar especializándose en su área.	 Los rangos salariales de esta otra especialidad son un motivador para cambiar de área de especialización	En qué otras área planea especializarse.	¿Ha seleccionado ya su especialidad dentro de la Ingeniería en Sistemas?	Ha seleccionado su especialidad, indique cual es	Amigos	Familiares	Relaciones Sociales	Entorno Laboral	Compañeros de la carrera	Maestros	Alguna persona en internet	Situación financiera actual	Expectativa de una mejor situación financiera	Salarios del área de especialización	Costos de los estudios en esa área de especialización	¿Qué factores influyeron o cree que seran determinantes en su decisión? Marque todas las opciones que apliquen	Considera que las oportunidades laborales son un factor determinante al momento de elegir su especialidad	Considera que las expectativas salariales son un factor determinante en su decisión de especialidad
8/8/2023 22:34:48	Mujer	Mayor de 25 años	Quinto año	Sí																																																																																														Analista de datos	4 años o más.	Privada	Menos  L15,000	L30,000-L45,000	Sí	No	Ciberseguridad, Desarrollo Front-end	No		1	1	1	5	3	3	1	5	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo	Si	Si
8/9/2023 17:09:11	Mujer	Mayor de 25 años	Quinto año	Sí																																																																																														Analista de datos	Menos de 6 meses	Privada	L15,000-L25,000	L25,000-L35,000	Sí	Si	Redes, Desarrollo Front-end, Ciberseguridad	Si	Analista de datos	1	1	1	4	2	5	1	4	3	3	5	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/9/2023 17:10:56	Hombre	20-22 años	Quinto año	Sí																																																																																														Desarrollo móvil	1 año a 3 años	Privada	L25,000-L35,000	L30,000-L45,000	Sí	No	Desarrollo Backend, Desarrollo Front-end, Diseñador	Si	Desarrollo móvil	1	1	3	4	2	1	1	3	3	3	3	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	Si	Si
8/9/2023 17:16:57	Hombre	20-22 años	Tercer año	No																																																																																																						Si	Ciberseguridad	3	3	3	3	3	3	3	3	3	3	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal, Aptitudes y habilidades específicas, Recomendaciones de profesores o mentores	Si	Si
8/9/2023 18:23:59	Hombre	22-25 años	Quinto año	Sí																																																																																														Desarrollo Backend	6 meses  a 1 año	Privada	L15,000-L25,000	Menos de L25,000	Sí	Si	Desarrollo Front-end, Desarrollo móvil, Redes, Administración de bases de datos	Si	Desarrollo Backend	1	2	2	3	1	2	1	4	3	2	2	Oportunidades laborales, Perspectivas futuras en el campo	Si	Si
8/9/2023 19:50:19	Hombre	22-25 años	Quinto año	Sí																																																																																														Infraestructura	1 año a 3 años	Privada	L15,000-L25,000	L30,000-L45,000	Sí	Si	Desarrollo Front-end	Si	Desarrollo Front-end	3	3	3	3	3	3	3	3	3	3	3	Gusto o interés personal	Si	Si
8/9/2023 21:47:18	Hombre	Mayor de 25 años	Quinto año	No																																																																																																						Si	Ciberseguridad	3	1	2	5	1	1	5	2	5	5	5	Oportunidades laborales, Perspectivas futuras en el campo	Si	Si
8/11/2023 10:25:57	Mujer	Mayor de 25 años	Quinto año	Sí																																																																																														Desarrollo Backend	1 año a 3 años	Pública	L15,000-L25,000	L25,000-L35,000	Sí	No	Administración de bases de datos, Project Management	Si	Project Management	1	1	1	4	4	1	1	2	4	4	4	Oportunidades laborales, Gusto o interés personal, Aptitudes y habilidades específicas	No	Si
8/13/2023 16:15:35	Hombre	Mayor de 25 años	Quinto año	Sí																																																																																														Redes	4 años o más.	Pública	L15,000-L25,000	L25,000-L35,000	Sí		Ciberseguridad	Si	Redes	1	1	1	4	4	1	1	1	4	4	5	     	Si	Si
8/13/2023 21:53:26	Hombre	22-25 años	Tercer año	No																																																																																																						No		1	1	1	1	1	1	5	1	3	2	3	Oportunidades laborales, Perspectivas futuras en el campo, Gusto o interés personal	Si	Si
